"id","nombre_iniciativa","componente_innovador","descripcion_iniciativa"
"153","""IA-Powered Robotic  Process Automation""","Mediante automatizaciónes de procesos con RPA como los Chatbots que sirven como servicio al cliente en horas no laborables, genera aumentos en productividad y rentabilidad","La automatización robótica de procesos (RPA) ayuda a delegar tareas mundanas en algoritmos. Combinamos soluciones RPA con nuestra fuerza ya establecida en la implementación de IA para ofrecer soluciones inteligentes de automatización de procesos. Aprovechamos el aprendizaje automático, la comprensión del lenguaje natural y la visión por computadora para garantizar que sus procesos no solo sean automatizados, sino autónomos e inteligentes."
"13","ACADEMY FOR WOMEN ENTREPRENEURS AWE – DREAMBUILDER ECUADOR","Empoderamiento a mujeres a través de capacitación empresarial mediante herramientas digitales con modalidad E-learning y presencial.","La Academia, equipará a las mujeres con las destrezas prácticas necesarias para crear empresas y negocios sostenibles. Mediante una comunidad de aprendizaje inclusiva, mujeres de todo el mundo tendrán oportunidades para explorar los fundamentos de los negocios, tales como la preparación de planes empresariales y obtención de capital, con la meta de construir un mejor futuro para las familias y comunidades de todo el mundo"
"15","AEI-innova","Por medio de conferencias se motiva a las empresas a generar cultura de innovación, con talleres de formación capacitan a empresas para implementar innovación, además cuentan con desafíos de innovación para que la organización los resuelva e innove.","El rol de AEI es generar continuidad en procesos y proyectos mediante la articulación de esfuerzos entre sus aliados, de tal manera que se generen sinergias para apoyar a que los emprendedores e innovadores tengan acceso a: Información de emprendimiento e innovación que permita a los emprendedores tomar decisiones acertadas y que mitiguen el riesgo, en lo relacionado a sus empresas. Financiamiento de capital de riesgo que les permita a los emprendedores poner en marcha proyectos innovadores. Acceso a educación emprendedora para niños en escuelas y colegios; y desarrollo de competencias emprendedoras para profesionales"
"216","AGRO-WORKS","Las herramientas y servicios son de manera personalizada y se otorgan mediante un logaritmo de inteligencia artificial que detecta el tipo de perfil de usuario para darle acceso a las distintas funcionalidades de la aplicación según sus necesidades, y según su geolocalización a través del mapeo geográfico de su ubicación en tiempo real.","AGRO-WORKS es un Marketplace Inteligente Agrícola de proximidad, siendo una plataforma y aplicación multidispositivo de comercio electrónico agrícola que brinda canales de compra y venta de productos y/o servicios agrícolas entre productores, proveedores, minoristas, mayoristas y consumidores. Además provee de herramientas de gestión de riesgo, información climática, agro contactos y capacitación técnica, que proveen en tiempo real acceso a información relevante del sector agrario permitiendo gestionar de manera inteligente la relación de la cadena de valor agrícola para vender, comprar, comunicarse entre los productores, proveedores de insumos y consumidores, y toma de decisiones."
"146","AGROIQ","Mediante un software especializado para empresas agrícolas, incrementa sus ingresos y disminuye costos debido a la la obtención de información a tiempo real para toma de decisiones","""AGRO IQ es un potente software agrícola. Conecta software y/o hardware existente en un solo panel de control para administrar la información de manera más eficiente.
 Permite correlacionar múltiples variables y tomar decisiones en tiempo real. Facilita la disminución de costos, aumenta la productividad y mejora la calidad de los productos y servicios."""
"179","AME Virtual Capacitación","Plataforma digital (con aplicación celular) para capacitación y gestión de conocimiento en la gestión urbana. Da soporte y acompañamiento técnivo, metodológico sobre temas de competencia municipal, gestión institucional y gobernabilidad para los funcionarios de GAD","“AME Virtual” tiene como finalidad fortalecer las capacidades de liderazgo y la gestión de los Gobiernos Autónomos Descentralizados (GAD) Municipales, además busca generar conocimiento y desarrollo de competencias sobre la base de las políticas nacionales y locales. De esta forma apoya al mejoramiento del desempeño de los gobiernos municipales."
"236","ANA - Plataforma de Educación Virtual","Posibilita virtualizar los programas de capacitación a través de la transmisión en tiempo real o streaming, permitiendo a los usuarios beneficiarse de toda la gama de cursos disponibles desde cualquier lugar.","Es una aplicación desarrollada con el objetivo de romper barreras como la ubicación geográfica o la falta acceso a centros de capacitación profesional para contribuir al desarrollo profesional en Ecuador."
"277","ANUNA","Anuna es una iniciativa que busca escalar la recolección de desechos de la manera más efectiva. Ofrecen un servicio gratuito para ayudar a hogares a reciclar para recuperar los desechos orgánicos.","Anuna tiene un enfoque principal hacia la recolección y procesamiento de desechos orgánicos. Con esto aportan a la reducción de las emisiones de metano y mejora los índices de reciclaje."
"41","APCI","Por medio de una plataforma educativa, refuerza el conocimiento de los jóvenes sobre áreas de matemáticas y lenguaje","Es una plataforma educativa que permite reforzar el área de matemáticas y lenguaje, a los estudiantes de 1ero de básica hasta 3ro de bachillerato a su propio ritmo."
"218","AYUDAPP","Está configurada como una aplicación para dispositivos móviles que contribuye a la configuración de redes de actores capaces de maximizar la colaboración a una escala totalmente nueva gracias a la tecnología digital.","AyudApp es un proyecto destinado a cambiar la forma en que los diferentes actores involucrados en el cambio social interactúan entre sí a través de la tecnología digital. Se busca que funcione como una plataforma de conexión para grupos sin fines de lucro/organizaciones filantrópicas y personas dispuestas a apoyar su causa a través del voluntariado o de donaciones específicas necesarias para las ONG."
"362","Aceleración","Inversión temprana para startups tecnológicas y mujeres en emprendimiento. Adicionalmente, facilitan acceso a redes internacionales para emprendedores locales mediante su capacidad de colaborar y crear fuertes conexiones internacionales.","Entendemos que cada startup tiene necesidades específicas dependiendo de las fortalezas de su equipo, estado de madurez, industria o modelo de negocio. Por esta razón tenemos un programa hecho a la medida solo para ti. Trabajamos con las mejores startups que aplican a nuestro programa de mentorías. Estas son aquellas que están solucionando un problema relevante, tienen una solución escalable y una propuesta de valor diferenciada."
"14","Aceleración","Inversión temprana para startups tecnológicas y mujeres en emprendimiento. Adicionalmente, facilitan acceso a redes internacionales para emprendedores locales mediante su capacidad de colaborar y crear fuertes conexiones internacionales.","Entendemos que cada startup tiene necesidades específicas dependiendo de las fortalezas de su equipo, estado de madurez, industria o modelo de negocio. Por esta razón tenemos un programa hecho a la medida solo para ti. Trabajamos con las mejores startups que aplican a nuestro programa de mentorías. Estas son aquellas que están solucionando un problema relevante, tienen una solución escalable y una propuesta de valor diferenciada."
"8","Aceleración de Startups","Acceso a la nube de servicios para los starups, los cuales podrán utilizar los servicios (API's) según las necesidades y modelo de negocio","Incubadora que tiene como objetivo fomentar el Ecosistema Emprendedor en el Ecuador y ayudar a las StartUps con sus proyectos, los cuales ya se encuentren en estado de prototipo. Dan los servicios de mentoring, capital semilla, know-how, exposición ante inversionistas, talleres, networking, espacio físico en Kruger."
"66","Aceleradora de Negocios para Mujeres Empresarias","Por medio de Charlas, menorías y alianzas estratégicas ayudan a mujeres empresarias y emprendedoras a potenciar e innovar sus ideas de negocio","A través de la primera aceleradora de negocios de mujeres empresarias del Ecuador apostamos al empoderamiento de la mujer empresaria, implementando estrategias de crecimiento e innovación para su negocio junto a programas de mentoring y red de contactos estratégicos."
